,citing author name,citing paper title,cited paper title,affiliation,latitude,longitude,county,city,state,country
85,Kejiang Ye,Joint participant and learning topology selection for federated learning in edge clouds,"Group-based hierarchical federated learning: Convergence, group formation, and sampling",Chinese Academy of Sciences,39.9093367,116.3297146,,Beijing,Beijing,China
86,Kejiang Ye,Joint participant and learning topology selection for federated learning in edge clouds,"Group-based hierarchical federated learning: Convergence, group formation, and sampling","Professor, Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences",,,,,,
87,Kejiang Ye,Joint participant and learning topology selection for federated learning in edge clouds,"Group-based hierarchical federated learning: Convergence, group formation, and sampling",Shenzhen Institutes of Advanced Technology,22.598056,113.9853378,,Nanshan District,Guangdong,China
88,Kejiang Ye,Joint participant and learning topology selection for federated learning in edge clouds,Joint participant selection and learning optimization for federated learning of multiple models in edge cloud,Chinese Academy of Sciences,39.9093367,116.3297146,,Beijing,Beijing,China
89,Kejiang Ye,Joint participant and learning topology selection for federated learning in edge clouds,Joint participant selection and learning optimization for federated learning of multiple models in edge cloud,"Professor, Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences",,,,,,
90,Kejiang Ye,Joint participant and learning topology selection for federated learning in edge clouds,Joint participant selection and learning optimization for federated learning of multiple models in edge cloud,Shenzhen Institutes of Advanced Technology,22.598056,113.9853378,,Nanshan District,Guangdong,China
91,Kejiang Ye,Joint participant and learning topology selection for federated learning in edge clouds,Joint participant selection and learning scheduling for multi-model federated edge learning,Chinese Academy of Sciences,39.9093367,116.3297146,,Beijing,Beijing,China
92,Kejiang Ye,Joint participant and learning topology selection for federated learning in edge clouds,Joint participant selection and learning scheduling for multi-model federated edge learning,"Professor, Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences",,,,,,
93,Kejiang Ye,Joint participant and learning topology selection for federated learning in edge clouds,Joint participant selection and learning scheduling for multi-model federated edge learning,Shenzhen Institutes of Advanced Technology,22.598056,113.9853378,,Nanshan District,Guangdong,China
94,Kejiang Ye,Joint participant and learning topology selection for federated learning in edge clouds,Participant selection for hierarchical federated learning in edge clouds,Chinese Academy of Sciences,39.9093367,116.3297146,,Beijing,Beijing,China
95,Kejiang Ye,Joint participant and learning topology selection for federated learning in edge clouds,Participant selection for hierarchical federated learning in edge clouds,"Professor, Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences",,,,,,
96,Kejiang Ye,Joint participant and learning topology selection for federated learning in edge clouds,Participant selection for hierarchical federated learning in edge clouds,Shenzhen Institutes of Advanced Technology,22.598056,113.9853378,,Nanshan District,Guangdong,China
97,Kun Guo (郭坤),Client scheduling for multiserver federated learning in industrial IoT with unreliable communications,Participant selection for hierarchical federated learning in edge clouds,East China Normal University,31.2284923,121.4021139,,Putuo District,Shanghai,China
98,Lei Fan,Co-Design of Network Topology and Qubit Allocation for Distributed Quantum Computing,Optimal entanglement distribution problem in satellite-based quantum networks,"Assistant Professor, University of Houston",,,,,,
99,Lei Fan,Co-Design of Network Topology and Qubit Allocation for Distributed Quantum Computing,Optimal entanglement distribution problem in satellite-based quantum networks,University of Houston,29.7207902,-95.3440627,Harris County,Houston,Texas,United States
100,Lei Fan,Co-Design of Network Topology and Qubit Allocation for Distributed Quantum Computing,Topology design with resource allocation and entanglement distribution for quantum networks,"Assistant Professor, University of Houston",,,,,,
101,Lei Fan,Co-Design of Network Topology and Qubit Allocation for Distributed Quantum Computing,Topology design with resource allocation and entanglement distribution for quantum networks,University of Houston,29.7207902,-95.3440627,Harris County,Houston,Texas,United States
102,Lei Fan,Entanglement from sky: Optimizing satellite-based entanglement distribution for quantum networks,Hybrid quantum-classical computing via Dantzig-Wolfe decomposition for integer linear programming,"Assistant Professor, University of Houston",,,,,,
103,Lei Fan,Entanglement from sky: Optimizing satellite-based entanglement distribution for quantum networks,Hybrid quantum-classical computing via Dantzig-Wolfe decomposition for integer linear programming,University of Houston,29.7207902,-95.3440627,Harris County,Houston,Texas,United States
104,Lei Fan,Entanglement from sky: Optimizing satellite-based entanglement distribution for quantum networks,Optimal entanglement distribution problem in satellite-based quantum networks,"Assistant Professor, University of Houston",,,,,,
105,Lei Fan,Entanglement from sky: Optimizing satellite-based entanglement distribution for quantum networks,Optimal entanglement distribution problem in satellite-based quantum networks,University of Houston,29.7207902,-95.3440627,Harris County,Houston,Texas,United States
106,Lei Fan,Hybrid quantum-classical benders' decomposition for federated learning scheduling in distributed networks,"Group-based hierarchical federated learning: Convergence, group formation, and sampling","Assistant Professor, University of Houston",,,,,,
107,Lei Fan,Hybrid quantum-classical benders' decomposition for federated learning scheduling in distributed networks,"Group-based hierarchical federated learning: Convergence, group formation, and sampling",University of Houston,29.7207902,-95.3440627,Harris County,Houston,Texas,United States
108,Lei Fan,Hybrid quantum-classical benders' decomposition for federated learning scheduling in distributed networks,Joint participant selection and learning scheduling for multi-model federated edge learning,"Assistant Professor, University of Houston",,,,,,
109,Lei Fan,Hybrid quantum-classical benders' decomposition for federated learning scheduling in distributed networks,Joint participant selection and learning scheduling for multi-model federated edge learning,University of Houston,29.7207902,-95.3440627,Harris County,Houston,Texas,United States
110,Lei Fan,Hybrid quantum-classical benders' decomposition for federated learning scheduling in distributed networks,Participant selection for hierarchical federated learning in edge clouds,"Assistant Professor, University of Houston",,,,,,
111,Lei Fan,Hybrid quantum-classical benders' decomposition for federated learning scheduling in distributed networks,Participant selection for hierarchical federated learning in edge clouds,University of Houston,29.7207902,-95.3440627,Harris County,Houston,Texas,United States
112,Lei Fan,Hybrid quantum-classical computing via Dantzig-Wolfe decomposition for integer linear programming,Optimal entanglement distribution problem in satellite-based quantum networks,"Assistant Professor, University of Houston",,,,,,
113,Lei Fan,Hybrid quantum-classical computing via Dantzig-Wolfe decomposition for integer linear programming,Optimal entanglement distribution problem in satellite-based quantum networks,University of Houston,29.7207902,-95.3440627,Harris County,Houston,Texas,United States
114,Lei Fan,Optimizing satellite-based entanglement distribution in quantum networks via quantum-assisted approaches,Hybrid quantum-classical computing via Dantzig-Wolfe decomposition for integer linear programming,"Assistant Professor, University of Houston",,,,,,
115,Lei Fan,Optimizing satellite-based entanglement distribution in quantum networks via quantum-assisted approaches,Hybrid quantum-classical computing via Dantzig-Wolfe decomposition for integer linear programming,University of Houston,29.7207902,-95.3440627,Harris County,Houston,Texas,United States
116,Lei Fan,Optimizing satellite-based entanglement distribution in quantum networks via quantum-assisted approaches,Optimal entanglement distribution problem in satellite-based quantum networks,"Assistant Professor, University of Houston",,,,,,
117,Lei Fan,Optimizing satellite-based entanglement distribution in quantum networks via quantum-assisted approaches,Optimal entanglement distribution problem in satellite-based quantum networks,University of Houston,29.7207902,-95.3440627,Harris County,Houston,Texas,United States
118,Lei Fan,Quantum assisted scheduling algorithm for federated learning in distributed networks,Joint participant selection and learning scheduling for multi-model federated edge learning,"Assistant Professor, University of Houston",,,,,,
