,citing author name,citing paper title,cited paper title,affiliation,latitude,longitude,county,city,state,country
181,Xinghua (Mindy) Shi,Participant selection for hierarchical federated learning in edge clouds,Joint participant selection and learning scheduling for multi-model federated edge learning,Temple University,39.981188,-75.1562828,Philadelphia County,Philadelphia,Pennsylvania,United States
182,Xinliang Wei,Entanglement from sky: Optimizing satellite-based entanglement distribution for quantum networks,Hybrid quantum-classical computing via Dantzig-Wolfe decomposition for integer linear programming,"Assistant Professor of Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences",,,,,,
183,Xinliang Wei,Entanglement from sky: Optimizing satellite-based entanglement distribution for quantum networks,Hybrid quantum-classical computing via Dantzig-Wolfe decomposition for integer linear programming,Chinese Academy of Sciences,39.9093367,116.3297146,,Beijing,Beijing,China
184,Xinliang Wei,Entanglement from sky: Optimizing satellite-based entanglement distribution for quantum networks,Optimal entanglement distribution problem in satellite-based quantum networks,"Assistant Professor of Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences",,,,,,
185,Xinliang Wei,Entanglement from sky: Optimizing satellite-based entanglement distribution for quantum networks,Optimal entanglement distribution problem in satellite-based quantum networks,Chinese Academy of Sciences,39.9093367,116.3297146,,Beijing,Beijing,China
186,Xinliang Wei,Group formation and sampling in group-based hierarchical federated learning,"Group-based hierarchical federated learning: Convergence, group formation, and sampling","Assistant Professor of Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences",,,,,,
187,Xinliang Wei,Group formation and sampling in group-based hierarchical federated learning,"Group-based hierarchical federated learning: Convergence, group formation, and sampling",Chinese Academy of Sciences,39.9093367,116.3297146,,Beijing,Beijing,China
188,Xinliang Wei,Group formation and sampling in group-based hierarchical federated learning,Joint participant selection and learning optimization for federated learning of multiple models in edge cloud,"Assistant Professor of Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences",,,,,,
189,Xinliang Wei,Group formation and sampling in group-based hierarchical federated learning,Joint participant selection and learning optimization for federated learning of multiple models in edge cloud,Chinese Academy of Sciences,39.9093367,116.3297146,,Beijing,Beijing,China
190,Xinliang Wei,Group formation and sampling in group-based hierarchical federated learning,Joint participant selection and learning scheduling for multi-model federated edge learning,"Assistant Professor of Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences",,,,,,
191,Xinliang Wei,Group formation and sampling in group-based hierarchical federated learning,Joint participant selection and learning scheduling for multi-model federated edge learning,Chinese Academy of Sciences,39.9093367,116.3297146,,Beijing,Beijing,China
